Truth,Frame,Prediction,Confidence
PUNT,5,OFFENSE,55.47332167625427
PUNT,10,OFFENSE,57.76143670082092
PUNT,15,OFFENSE,74.28357601165771
PUNT,20,OFFENSE,63.684654235839844
PUNT,25,OFFENSE,46.3159054517746
PUNT,30,OFFENSE,35.45687198638916
PUNT,35,KICKOFF,31.016889214515686
PUNT,40,PUNT,43.19659769535065
PUNT,45,PUNT,44.16191577911377
PUNT,50,PUNT,43.26403737068176
PUNT,55,PUNT,47.13083505630493
PUNT,60,PUNT,75.11072158813477
PUNT,65,OFFENSE,96.05032801628113
PUNT,70,PUNT,83.82183909416199
PUNT,75,PUNT,97.10829854011536
PUNT,80,PUNT,97.59809374809265
PUNT,85,PUNT,91.71568155288696
PUNT,90,PUNT,67.00932383537292
PUNT,95,PUNT,89.05126452445984
PUNT,100,PUNT,78.3521294593811
PUNT,105,PUNT,75.4019558429718
PUNT,110,PUNT,89.71036672592163
PUNT,115,PUNT,74.10398125648499
PUNT,120,PUNT,93.5522735118866
PUNT,125,PUNT,81.26941323280334
PUNT,130,PUNT,99.98878240585327
PUNT,135,PUNT,99.98160004615784
PUNT,140,PUNT,99.98200535774231
PUNT,145,PUNT,99.9924898147583
PUNT,150,PUNT,99.97135996818542
PUNT,155,PUNT,99.96696710586548
PUNT,160,PUNT,99.98218417167664
PUNT,165,PUNT,99.50662851333618
PUNT,170,PUNT,99.87561702728271
PUNT,175,PUNT,99.99022483825684
PUNT,180,PUNT,99.96007084846497
PUNT,185,PUNT,99.7418999671936
PUNT,190,PUNT,99.71849322319031
PUNT,195,PUNT,99.94065761566162
PUNT,200,PUNT,99.21875
PUNT,205,PUNT,99.83541965484619
PUNT,210,PUNT,99.69291090965271
PUNT,215,PUNT,97.95290231704712
PUNT,220,PUNT,99.67089891433716
PUNT,225,PUNT,99.88723397254944
PUNT,230,PUNT,99.8453140258789
PUNT,235,PUNT,99.31760430335999
PUNT,240,PUNT,99.65214729309082
PUNT,245,PUNT,98.00776243209839
PUNT,250,PUNT,99.40844178199768
PUNT,255,PUNT,99.22239780426025
PUNT,260,PUNT,99.94114637374878
PUNT,265,PUNT,99.6938943862915
PUNT,270,PUNT,99.49236512184143
PUNT,275,PUNT,99.83409643173218
PUNT,280,PUNT,98.32467436790466
PUNT,285,PUNT,99.58723187446594
PUNT,290,PUNT,99.84819293022156
PUNT,295,PUNT,98.17492961883545
PUNT,300,PUNT,99.48390126228333
PUNT,305,PUNT,99.36339855194092
PUNT,310,PUNT,96.54041528701782
PUNT,315,PUNT,99.22685027122498
PUNT,320,PUNT,93.00253391265869
PUNT,325,PUNT,98.09762239456177
PUNT,330,PUNT,98.86992573738098
PUNT,335,PUNT,99.00290369987488
PUNT,340,PUNT,91.12993478775024
PUNT,345,OFFENSE,49.684301018714905
PUNT,350,PUNT,56.609952449798584
PUNT,355,PUNT,51.84590816497803
PUNT,360,PUNT,77.39374041557312
PUNT,365,PUNT,62.8531277179718
PUNT,370,OFFENSE,65.9700095653534
PUNT,375,PUNT,64.38342332839966
PUNT,380,OFFENSE,79.76343035697937
PUNT,385,PUNT,76.56223773956299
PUNT,390,OFFENSE,82.73695707321167
PUNT,395,OFFENSE,88.66130709648132
PUNT,400,OFFENSE,76.69626474380493
PUNT,405,OFFENSE,68.11977028846741
PUNT,410,OFFENSE,67.89389252662659
PUNT,415,OFFENSE,95.72272300720215
PUNT,420,OFFENSE,71.5274453163147
PUNT,425,OFFENSE,96.86956405639648
PUNT,430,OFFENSE,62.469786405563354
PUNT,435,OFFENSE,64.73134756088257
PUNT,440,PUNT,75.26161670684814
PUNT,445,OFFENSE,93.40600371360779
PUNT,450,OFFENSE,96.80766463279724
PUNT,455,OFFENSE,71.13215327262878
PUNT,460,OFFENSE,44.575074315071106
PUNT,465,OFFENSE,61.79494261741638
PUNT,470,OFFENSE,60.59734225273132
PUNT,475,OFFENSE,35.16108691692352
PUNT,480,OFFENSE,90.95427989959717
PUNT,485,OFFENSE,74.20262694358826
PUNT,490,OFFENSE,78.3963680267334
PUNT,495,OFFENSE,76.98092460632324
PUNT,500,OFFENSE,67.40307211875916
PUNT,505,OFFENSE,64.549320936203
PUNT,510,OFFENSE,64.20282125473022
PUNT,515,OFFENSE,70.8306074142456
PUNT,520,KICKOFF,62.35984563827515
PUNT,525,OFFENSE,52.519190311431885
PUNT,530,OFFENSE,45.591068267822266
PUNT,535,OFFENSE,82.05454349517822
PUNT,540,OFFENSE,74.57897067070007
PUNT,545,KICKOFF,66.59157276153564
PUNT,550,OFFENSE,67.19000339508057
PUNT,555,KICKOFF,84.66019630432129
PUNT,560,KICKOFF,80.45870065689087
PUNT,565,OFFENSE,56.4957857131958
PUNT,570,OFFENSE,69.73241567611694
PUNT,575,KICKOFF,62.26735711097717
PUNT,580,OFFENSE,52.91439890861511
PUNT,585,KICKOFF,56.3838005065918
PUNT,590,OFFENSE,48.71513545513153
PUNT,595,OFFENSE,68.8172996044159
PUNT,600,OFFENSE,58.13879370689392
PUNT,605,KICKOFF,78.21929454803467
PUNT,610,KICKOFF,80.58745265007019
PUNT,615,KICKOFF,88.7120246887207
PUNT,620,KICKOFF,94.33531761169434
PUNT,625,KICKOFF,89.8307204246521
PUNT,630,KICKOFF,60.284435749053955
PUNT,635,KICKOFF,92.73126125335693
PUNT,640,KICKOFF,85.57655811309814
PUNT,645,KICKOFF,88.8615071773529
PUNT,650,KICKOFF,88.90161514282227
PUNT,655,KICKOFF,92.09776520729065
PUNT,660,KICKOFF,94.72044110298157
PUNT,665,KICKOFF,95.35956978797913
PUNT,670,KICKOFF,95.29448747634888
PUNT,675,KICKOFF,97.82065153121948
PUNT,680,KICKOFF,97.40237593650818
PUNT,685,KICKOFF,96.5039074420929
PUNT,690,KICKOFF,94.68613266944885
PUNT,695,KICKOFF,98.49945902824402
PUNT,700,KICKOFF,96.6194748878479
PUNT,705,KICKOFF,94.75524425506592
PUNT,710,KICKOFF,96.18143439292908
PUNT,715,KICKOFF,95.50206065177917
PUNT,720,KICKOFF,84.98859405517578
PUNT,725,KICKOFF,88.25574517250061
PUNT,730,KICKOFF,92.70774126052856
PUNT,735,KICKOFF,93.22072863578796
PUNT,740,KICKOFF,93.8620924949646
PUNT,745,KICKOFF,93.43645572662354
PUNT,750,KICKOFF,96.44024968147278
PUNT,755,KICKOFF,91.87839031219482
PUNT,760,KICKOFF,94.86957788467407
PUNT,765,KICKOFF,95.00073790550232
PUNT,770,KICKOFF,94.83919143676758
PUNT,775,KICKOFF,94.07787322998047
PUNT,780,KICKOFF,92.09614992141724
PUNT,785,KICKOFF,94.79721188545227
PUNT,790,KICKOFF,94.0086305141449
PUNT,795,KICKOFF,92.59982705116272
PUNT,800,KICKOFF,94.31684613227844
